J1152-5800     1.789829  1.28e-15    16.000      0.12      191.00    178.041667    -58.009444    295.126      3.961  *         
J1152-6012     0.376570  6.69e-15     9.600      0.17       74.00    178.224167    -60.205833    295.716      1.843  *         
J1154-6250     0.282012  5.59e-16     5.900      0.07       74.00    178.583750    -62.834083    296.467     -0.681  *         
J1156-5707     0.288409  2.65e-14     4.800      0.19      243.50    179.031042    -57.117194    295.448      4.949  *         
J1157-6224     0.400522  3.93e-15    13.000      5.90      325.20    179.313500    -62.414131    296.705     -0.199  *         
J1159-6409     0.667486  2.40e-17   210.000      0.47      178.00    179.840417    -64.165833    297.295     -1.865  *         
J1201-6306     0.592136  3.56e-15    13.000      0.13      683.00    180.345875    -63.116528    297.309     -0.793  *         
J1202-5820     0.452801  2.13e-15    10.000      2.00      145.41    180.618346    -58.342611    296.528      3.919  *         
J1210-5559     0.279767  7.26e-16     8.000      2.10      174.35    182.524950    -55.984422    297.136      6.421  *         
J1210-6550     4.237010  4.31e-16    39.000      0.17       37.00    182.675000    -65.834611    298.774     -3.292  *         
J1211-6324     0.433084  2.57e-16    15.000      0.45      333.80    182.850750    -63.412556    298.470     -0.888  *         
J1214-5830     0.909823  5.34e-17     9.400      0.14      141.10    183.535083    -58.507194    298.065      4.012  *         
J1216-6223     0.374047  1.68e-14    15.000      0.15      786.60    184.174542    -62.399389    298.920      0.201  *         
J1220-6318     0.789212  8.03e-17    58.000      0.68      347.00    185.074417    -63.312917    299.444     -0.652  *         
J1222-5738     1.081164  1.50e-16    28.000      0.11       74.00    185.717917    -57.638889    299.102      5.020  *         
J1224-6208     0.585761  2.02e-14    10.000      0.23      454.20    186.184375    -62.144750    299.818      0.565  *         
J1224-6407     0.216476  4.95e-15     6.100      3.90       97.47    186.092438    -64.131642    299.984     -1.415  *         
J1225-5556     1.018453  2.06e-15    20.000      0.40      125.83    186.432613    -55.945317    299.313      6.746  *         
J1225-6035     0.626324  2.88e-16     3.900      0.26      176.10    186.369292    -60.593778    299.748      2.117  *         
J1225-6408     0.419618  9.46e-16     8.100      0.38      415.10    186.428333    -64.145278    300.131     -1.414  *         
J1231-6303     1.351236  1.40e-15   185.000      1.50      301.00    187.804167    -63.055000    300.644     -0.273  *         
J1232-6501     0.088282  8.11e-19    11.000      0.34      239.40    188.074333    -65.017592    300.911     -2.221  ELL1      
J1233-6312     0.564759  6.92e-15    57.000      0.25      414.00    188.381250    -63.208056    300.915     -0.406  *         
J1233-6344     0.756892  3.88e-15    12.000      0.07      495.00    188.416250    -63.748611    300.968     -0.945  *         
